Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Precious Achiuwa,C,23,TOR,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,1.6,2.3,0.702,1.8,0.9,0.6,1.1,9.2,10.649
Steven Adams,C,29,MEM,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,1.1,3.1,0.364,5.1,2.3,0.9,1.9,8.6,13.367999999999999
Bam Adebayo,C,25,MIA,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,4.3,5.4,0.806,2.5,3.2,1.2,2.5,20.4,21.755
Ochai Agbaji,SG,22,UTA,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.9,1.2,0.812,0.7,1.1,0.3,0.7,7.9,8.266
Santi Aldama,PF,22,MEM,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,1.4,1.9,0.75,1.1,1.3,0.6,0.8,9.0,10.068
Nickeil Alexander-Walker,SG,24,TOT,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.7,1.0,0.667,0.3,1.8,0.5,0.9,6.2,5.994000000000001
Grayson Allen,SG,27,MIL,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,1.6,1.8,0.905,0.8,2.3,0.9,1.0,10.4,11.229000000000001
Jarrett Allen,C,24,CLE,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,2.4,3.3,0.733,3.3,1.7,0.8,1.4,14.3,17.404000000000003
Jose Alvarado,PG,24,NOP,3.3,8.0,0.411,1.4,4.0,0.336,1.9,4.0,0.488,1.1,1.3,0.813,0.5,3.0,1.1,1.3,9.0,9.46
Kyle Anderson,PF,29,MIN,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,1.4,2.0,0.735,1.0,4.9,1.1,1.5,9.4,9.92
Giannis Antetokounmpo,PF,28,MIL,11.2,20.3,0.553,0.7,2.7,0.275,10.5,17.6,0.596,7.9,12.3,0.645,2.2,5.7,0.8,3.9,31.1,30.031000000000006
Thanasis Antetokounmpo,PF,30,MIL,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.3,0.6,0.5,0.4,0.4,0.1,0.3,1.4,1.542
Cole Anthony,PG,22,ORL,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,2.5,2.8,0.894,0.8,3.9,0.6,1.5,13.0,13.108999999999998
OG Anunoby,SF,25,TOR,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,2.1,2.5,0.838,1.4,2.0,1.9,2.0,16.8,18.337
Ryan Arcidiacono,PG,28,TOT,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.0,0.0,,0.0,1.2,0.3,0.4,1.3,1.2850000000000001
Deni Avdija,SF,22,WAS,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,1.6,2.2,0.739,1.0,2.8,0.9,1.6,9.2,9.475
Deandre Ayton,C,24,PHO,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.3,3.0,0.76,2.6,1.7,0.6,1.8,18.0,19.688000000000002
Udoka Azubuike,C,23,UTA,1.6,2.0,0.819,0.0,0.0,,1.6,2.0,0.819,0.2,0.6,0.35,0.9,0.3,0.2,0.5,3.5,4.117
Marvin Bagley III,C,23,DET,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,1.9,2.6,0.75,2.2,0.9,0.5,1.1,12.0,14.106
Patrick Baldwin Jr.,SF,20,GSW,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.1,0.2,0.667,0.0,0.4,0.2,0.4,3.9,3.67
LaMelo Ball,PG,21,CHO,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,2.8,3.4,0.836,1.2,8.4,1.3,3.6,23.3,21.971
Mo Bamba,C,24,TOT,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.8,1.3,0.661,1.2,0.9,0.3,0.6,6.6,7.671000000000001
Paolo Banchero,PF,20,ORL,6.7,15.6,0.427,1.2,4.0,0.298,5.5,11.6,0.471,5.5,7.4,0.738,1.2,3.7,0.8,2.8,20.0,19.216
Desmond Bane,SG,24,MEM,7.8,16.2,0.479,2.9,7.0,0.408,4.9,9.2,0.534,3.1,3.5,0.883,0.7,4.4,1.0,2.2,21.5,21.046
Dalano Banton,PG,23,TOR,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.5,0.8,0.708,0.4,1.2,0.4,0.6,4.6,4.841999999999999
Dominick Barlow,PF,19,SAS,1.6,3.1,0.535,0.0,0.1,0.0,1.6,2.9,0.561,0.6,0.9,0.72,1.6,0.9,0.4,0.5,3.9,5.573
Harrison Barnes,PF,30,SAC,4.6,9.6,0.473,1.6,4.3,0.374,3.0,5.3,0.553,4.3,5.0,0.847,1.1,1.6,0.7,1.0,15.0,16.053000000000004
Scottie Barnes,SF,21,TOR,6.0,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,2.5,3.2,0.772,2.3,4.8,1.1,2.0,15.3,16.979
RJ Barrett,SG,22,NYK,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,4.0,5.4,0.74,0.8,2.8,0.4,2.2,19.6,18.573999999999998
Will Barton,SG,32,TOT,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.7,0.8,0.787,0.3,2.0,0.5,0.9,6.8,6.794
Charles Bassey,C,22,SAS,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.6,1.1,0.595,2.1,1.3,0.5,1.2,5.7,7.372999999999998
Keita Bates-Diop,PF,27,SAS,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.8,2.2,0.793,1.0,1.5,0.7,0.8,9.7,10.665000000000001
Nicolas Batum,PF,34,LAC,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.4,0.6,0.708,0.8,1.6,0.7,0.6,6.1,7.259
Darius Bazley,C,22,TOT,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.9,1.6,0.543,0.8,0.9,0.5,0.6,5.2,6.229000000000001
Bradley Beal,SG,29,WAS,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,3.8,4.6,0.842,0.8,5.4,0.9,2.9,23.2,21.843999999999998
Malik Beasley,SG,26,TOT,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.6,0.8,0.769,0.4,1.5,0.8,1.1,12.7,12.826999999999998
MarJon Beauchamp,SF,22,MIL,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.5,0.7,0.73,0.7,0.7,0.4,0.9,5.1,5.2509999999999994
Dāvis Bertāns,PF,30,DAL,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.3,0.3,0.867,0.2,0.5,0.2,0.2,4.6,4.735999999999999
Patrick Beverley,SG-PG,34,TOT,2.1,5.4,0.4,1.2,3.6,0.335,1.0,1.8,0.529,0.7,1.0,0.723,0.7,2.9,0.9,0.9,6.2,7.1259999999999994
Saddiq Bey,SF,23,TOT,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,2.7,3.1,0.861,1.3,1.5,0.9,0.9,13.8,15.433999999999997
Khem Birch,C,30,TOR,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.2,0.3,0.8,0.4,0.4,0.3,0.4,2.2,2.657
Goga Bitadze,C,23,TOT,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.6,1.1,0.548,1.6,1.0,0.4,0.6,4.4,6.257999999999999
Bismack Biyombo,C,30,PHO,2.0,3.4,0.578,0.0,0.0,,2.0,3.4,0.578,0.4,1.1,0.357,1.5,0.9,0.3,0.8,4.3,5.595
Buddy Boeheim,SF,23,DET,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.2,0.2,1.0,0.2,0.4,0.2,0.0,1.6,2.066
Bogdan Bogdanović,SG,30,ATL,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,1.2,1.4,0.831,0.4,2.8,0.8,1.2,14.0,14.112000000000002
Bojan Bogdanović,PF,33,DET,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,4.5,5.1,0.884,0.6,2.6,0.6,2.3,21.6,20.353
Bol Bol,PF,23,ORL,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,1.2,1.5,0.759,1.0,1.0,0.4,1.6,9.1,8.8
Leandro Bolmaro,SF,22,UTA,0.2,1.4,0.15,0.0,0.3,0.0,0.2,1.1,0.188,0.0,0.0,,0.3,0.5,0.2,0.5,0.4,0.40900000000000003
Devin Booker,SG,26,PHO,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,5.8,6.8,0.855,0.9,5.5,1.0,2.7,27.8,26.807
Brandon Boston Jr.,SF,21,LAC,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,1.3,1.7,0.763,0.3,0.9,0.4,0.5,6.5,6.638999999999999
Chris Boucher,PF,30,TOR,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,1.7,2.2,0.762,2.1,0.4,0.6,0.5,9.4,11.893
James Bouknight,SG,22,CHO,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.6,0.9,0.667,0.2,1.2,0.4,0.9,5.6,5.460999999999999
Jamaree Bouyea,PG,23,TOT,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.2,0.4,0.5,0.2,0.8,0.8,0.8,3.0,3.2360000000000007
Tony Bradley,C,25,CHI,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.3,0.3,1.0,0.1,0.1,0.1,0.1,1.6,1.9180000000000004
Malaki Branham,SG,19,SAS,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.9,1.1,0.829,0.4,1.9,0.5,1.2,10.2,9.966999999999999
Jarrell Brantley,PF,26,UTA,2.0,3.5,0.571,1.0,2.3,0.444,1.0,1.3,0.8,0.5,0.5,1.0,0.3,0.8,0.0,0.5,5.5,5.279
Christian Braun,SG,21,DEN,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.5,0.8,0.625,0.6,0.8,0.5,0.5,4.7,5.208
Mikal Bridges,SF-SG,26,TOT,7.1,15.3,0.468,2.0,5.3,0.382,5.1,9.9,0.514,3.8,4.3,0.895,1.0,3.3,1.1,1.5,20.1,20.72
Oshae Brissett,PF,24,IND,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,1.6,2.2,0.717,1.0,0.7,0.5,0.5,6.1,7.279999999999999
Malcolm Brogdon,PG,30,BOS,5.3,10.9,0.484,2.0,4.4,0.444,3.3,6.5,0.51,2.4,2.7,0.87,0.6,3.7,0.7,1.5,14.9,14.788000000000002
Dillon Brooks,SF,27,MEM,5.4,13.6,0.396,2.0,6.0,0.326,3.4,7.6,0.451,1.6,2.1,0.779,0.6,2.6,0.9,1.4,14.3,14.533000000000001
Bruce Brown,SF,26,DEN,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,1.5,1.9,0.758,0.8,3.4,1.1,1.5,11.5,11.884000000000002
Greg Brown III,PF,21,POR,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.3,0.8,0.417,0.1,0.2,0.3,0.4,1.8,1.803
Jaylen Brown,SF,26,BOS,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,3.9,5.1,0.765,1.2,3.5,1.1,2.9,26.6,25.846
Kendall Brown,SG,19,IND,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.2,0.3,0.5,0.3,0.5,0.7,0.3,1.5,2.4139999999999997
Moses Brown,C,23,TOT,1.7,2.7,0.635,0.0,0.0,,1.7,2.7,0.635,0.9,2.0,0.458,1.6,0.1,0.1,0.4,4.3,5.843
Sterling Brown,SF,27,LAL,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.8,0.5,0.8,0.0,0.0,1.8639999999999999
Troy Brown Jr.,SF,23,LAL,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.4,0.5,0.872,0.8,1.3,0.8,0.6,7.1,8.174000000000001
Jalen Brunson,PG,26,NYK,8.6,17.6,0.491,2.0,4.7,0.416,6.7,12.8,0.519,4.8,5.8,0.829,0.6,6.2,0.9,2.1,24.0,23.528
Thomas Bryant,C,25,TOT,3.9,6.3,0.623,0.4,1.0,0.441,3.5,5.3,0.658,1.6,2.1,0.738,1.5,0.5,0.3,0.6,9.8,11.225
Reggie Bullock,SF,31,DAL,2.5,6.0,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.3,0.5,0.703,0.4,1.4,0.7,0.5,7.2,7.701999999999999
Alec Burks,SG,31,DET,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,3.0,3.7,0.814,0.4,2.2,0.7,1.1,12.8,12.711999999999998
Deonte Burton,PF,29,SAC,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Jared Butler,PG,22,OKC,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3.0,0.444,0.0,0.0,,0.2,1.3,0.8,0.8,6.2,6.435999999999999
Jimmy Butler,PF,33,MIA,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,7.4,8.7,0.85,2.2,5.3,1.8,1.6,22.9,25.826
John Butler,C,20,POR,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.2,0.2,0.75,0.2,0.6,0.4,0.1,2.4,2.981
Jamal Cain,PF,23,MIA,2.1,3.7,0.561,0.4,1.1,0.35,1.7,2.6,0.652,0.9,1.2,0.773,0.8,0.7,0.6,0.3,5.4,6.789000000000001
Kentavious Caldwell-Pope,SG,29,DEN,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,1.4,1.6,0.824,0.5,2.4,1.5,1.1,10.8,12.05
Facundo Campazzo,PG,31,DAL,0.4,1.6,0.231,0.4,1.4,0.273,0.0,0.3,0.0,0.1,0.3,0.5,0.0,1.1,0.8,0.4,1.3,1.7600000000000002
Vlatko Čančar,PF,25,DEN,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.6,0.7,0.927,0.4,1.3,0.4,0.6,5.0,5.1419999999999995
Clint Capela,C,28,ATL,5.4,8.2,0.653,0.0,0.0,0.0,5.4,8.2,0.654,1.2,2.0,0.603,4.0,0.9,0.7,0.8,12.0,16.604999999999997
Vernon Carey Jr.,C,21,WAS,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.25,0.2,0.2,1.0,0.3,0.3,0.2,0.2,0.5,0.9540000000000002
Jevon Carter,PG,27,MIL,3.0,7.0,0.423,1.8,4.2,0.421,1.2,2.8,0.425,0.4,0.5,0.816,0.4,2.4,0.8,1.0,8.0,8.442
Wendell Carter Jr.,C,23,ORL,5.6,10.8,0.525,1.4,3.9,0.356,4.2,6.8,0.624,2.5,3.4,0.738,2.1,2.3,0.5,1.9,15.2,15.968
Michael Carter-Williams,PG,31,ORL,1.5,3.5,0.429,0.3,0.8,0.333,1.3,2.8,0.455,1.0,1.8,0.571,0.3,1.8,0.3,1.0,4.3,4.0489999999999995
Alex Caruso,PG,28,CHI,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2.0,0.556,0.9,1.1,0.808,0.6,2.9,1.5,1.1,5.6,6.668000000000001
Julian Champagnie,SF,21,TOT,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.8,1.0,0.824,0.6,0.6,0.4,0.6,9.7,9.978
Justin Champagnie,SF,21,TOT,1.0,3.0,0.333,0.2,1.0,0.2,0.8,2.0,0.4,0.0,0.0,,0.6,0.8,0.2,0.0,2.2,3.1380000000000003
Kennedy Chandler,PG,20,MEM,1.0,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.2,0.4,0.462,0.3,1.6,0.3,0.5,2.2,2.4240000000000004
Max Christie,SG,19,LAL,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.3,0.4,0.875,0.2,0.5,0.2,0.3,3.1,3.020999999999999
Josh Christopher,SG,21,HOU,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.7,0.9,0.75,0.3,1.1,0.5,0.9,5.8,5.694
Brandon Clarke,PF,26,MEM,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,1.8,2.4,0.723,1.6,1.3,0.6,1.0,10.0,11.427999999999999
Jordan Clarkson,SG,30,UTA,7.5,16.9,0.444,2.5,7.5,0.338,5.0,9.4,0.53,3.3,4.0,0.816,1.2,4.4,0.5,3.0,20.8,19.341
Nic Claxton,C,23,BRK,5.4,7.7,0.705,0.0,0.0,0.0,5.4,7.7,0.708,1.8,3.2,0.541,2.4,1.9,0.9,1.3,12.6,14.972000000000003
Amir Coffey,SF,25,LAC,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,1.0,1.3,0.778,0.3,1.1,0.1,0.4,3.4,3.4090000000000007
John Collins,PF,25,ATL,5.1,10.0,0.508,1.0,3.4,0.292,4.1,6.6,0.619,2.0,2.5,0.803,1.1,1.2,0.6,1.1,13.1,13.922999999999998
Zach Collins,C,25,SAS,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,1.7,2.3,0.761,1.8,2.9,0.6,2.0,11.6,12.114
Chance Comanche,C,26,POR,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,1.0,4.0,0.25,2.0,0.0,0.0,0.0,7.0,9.36
Mike Conley,PG,35,TOT,3.9,9.1,0.428,2.0,5.2,0.385,1.9,3.9,0.486,2.1,2.5,0.834,0.5,6.7,1.1,1.5,11.9,12.030000000000001
Pat Connaughton,SF,30,MIL,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.4,0.7,0.659,0.8,1.3,0.6,0.5,7.6,8.659
Xavier Cooks,PF,27,WAS,1.7,2.8,0.607,0.0,0.1,0.0,1.7,2.7,0.63,0.4,1.0,0.4,1.6,0.6,0.6,0.8,3.8,5.458
Robert Covington,PF,32,LAC,2.1,4.8,0.445,1.1,2.8,0.397,1.0,1.9,0.516,0.6,0.8,0.75,0.6,1.2,0.8,0.7,6.0,6.723000000000001
Torrey Craig,PF,32,PHO,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.4,0.6,0.711,1.8,1.5,0.6,0.9,7.4,9.279
Jae Crowder,PF,32,MIL,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.6,0.7,0.833,0.9,1.5,0.7,0.4,6.9,8.307000000000002
Jarrett Culver,SF,23,ATL,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.9,1.3,0.692,1.0,0.6,0.6,0.7,4.4,5.465
Cade Cunningham,PG,21,DET,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,3.0,3.6,0.837,1.0,6.0,0.8,3.3,19.9,18.105
Seth Curry,SG,32,BRK,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.8,0.9,0.927,0.2,1.6,0.6,0.8,9.2,9.106000000000002
Stephen Curry,PG,34,GSW,10.0,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,4.6,5.0,0.915,0.7,6.3,0.9,3.2,29.4,27.681
Dyson Daniels,PG,19,NOP,1.5,3.5,0.418,0.5,1.5,0.314,1.0,2.1,0.492,0.4,0.7,0.65,0.6,2.3,0.7,1.0,3.8,4.263
Anthony Davis,C,29,LAL,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,6.2,7.9,0.784,3.5,2.6,1.1,2.2,25.9,28.564999999999998
Johnny Davis,SG,20,WAS,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.5,1.0,0.519,0.4,1.0,0.4,0.6,5.8,6.1419999999999995
Terence Davis,SG,25,SAC,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.5,0.7,0.791,0.3,1.0,0.7,0.8,6.7,6.938999999999999
JD Davison,SG,20,BOS,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1.0,0.5,0.1,0.2,0.5,0.2,0.9,0.2,0.3,1.6,1.8210000000000004
Darius Days,SF,23,HOU,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.5,0.5,1.0,0.3,0.3,0.0,0.0,3.8,4.2540000000000004
Dewayne Dedmon,C,33,TOT,2.0,4.0,0.51,0.3,1.0,0.308,1.7,2.9,0.58,0.9,1.3,0.673,0.9,0.7,0.2,0.7,5.2,5.687000000000001
Matthew Dellavedova,PG,32,SAC,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.1,0.2,0.571,0.0,1.3,0.2,0.3,1.5,1.485
DeMar DeRozan,SF,33,CHI,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,6.2,7.1,0.872,0.5,5.1,1.1,2.1,24.5,24.040000000000003
Moussa Diabaté,C,21,LAC,1.1,2.1,0.511,0.0,0.1,0.5,1.0,2.0,0.511,0.5,0.7,0.625,1.4,0.2,0.3,0.4,2.7,4.037
Mamadi Diakite,C,26,CLE,1.1,2.3,0.48,0.3,1.0,0.333,0.8,1.3,0.586,0.1,0.1,1.0,0.4,0.4,0.2,0.5,2.6,2.7270000000000003
Hamidou Diallo,SF,24,DET,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,1.6,2.6,0.588,1.0,1.0,0.9,1.3,9.3,10.22
Gorgui Dieng,C,33,SAS,1.5,3.8,0.385,0.7,2.4,0.28,0.8,1.4,0.571,0.3,0.4,0.769,0.9,1.7,0.1,1.0,3.9,4.026999999999999
Ousmane Dieng,PF,19,OKC,1.9,4.6,0.42,0.7,2.5,0.265,1.3,2.1,0.602,0.4,0.6,0.652,0.5,1.2,0.4,0.7,4.9,5.345
Spencer Dinwiddie,SG-PG,29,TOT,5.8,13.3,0.438,2.3,6.2,0.369,3.5,7.1,0.498,3.4,4.2,0.812,0.4,6.5,0.8,1.8,17.3,16.622
Donte DiVincenzo,SG,26,GSW,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.8,1.0,0.817,1.1,3.5,1.3,1.6,9.4,10.453000000000001
Luka Dončić,PG,23,DAL,10.9,22.0,0.496,2.8,8.2,0.342,8.1,13.8,0.588,7.8,10.5,0.742,0.8,8.0,1.4,3.6,32.4,30.814
Tyler Dorsey,SF,26,DAL,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.0,0.0,,0.3,0.0,0.0,0.0,3.0,3.254
Luguentz Dort,SF,23,OKC,4.6,11.8,0.388,1.8,5.5,0.33,2.8,6.3,0.44,2.7,3.5,0.772,1.7,2.1,1.0,1.2,13.7,15.475999999999999
Ayo Dosunmu,SG,23,CHI,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.8,1.0,0.805,0.6,2.6,0.8,1.2,8.6,8.748000000000001
Devon Dotson,PG,23,WAS,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,1.3,0.8,0.5,0.5,2.125
Jeff Dowtin,PG,25,TOR,1.0,2.3,0.439,0.2,0.6,0.313,0.8,1.6,0.488,0.2,0.4,0.667,0.2,1.2,0.4,0.2,2.4,2.866
PJ Dozier,SF,26,SAC,0.6,2.1,0.303,0.1,1.0,0.125,0.5,1.1,0.471,0.0,0.0,,0.1,0.6,0.4,0.3,1.4,1.5330000000000001
Goran Dragić,PG,36,TOT,2.4,5.8,0.421,0.9,2.5,0.359,1.5,3.3,0.468,0.5,0.8,0.689,0.3,2.6,0.2,1.1,6.3,5.519000000000001
Andre Drummond,C,29,CHI,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,1.0,1.9,0.536,2.1,0.5,0.7,1.1,6.0,8.017999999999999
